center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses05F_impro01_F006,Ses05F_impro01_F005,Ses05F_impro01_M004,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M005,Ses05F_impro01_M004,Ses05F_impro01_F006,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F007,Ses05F_impro01_F006,Ses05F_impro01_M005,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M006,Ses05F_impro01_M005,Ses05F_impro01_F007,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F008,Ses05F_impro01_F007,Ses05F_impro01_M006,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M007,Ses05F_impro01_M006,Ses05F_impro01_F008,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M009,Ses05F_impro01_M008,Ses05F_impro01_F010,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F011,Ses05F_impro01_F010,Ses05F_impro01_M009,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M010,Ses05F_impro01_M009,Ses05F_impro01_F011,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F012,Ses05F_impro01_F011,Ses05F_impro01_M010,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M011,Ses05F_impro01_M010,Ses05F_impro01_F012,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F013,Ses05F_impro01_F012,Ses05F_impro01_M011,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M012,Ses05F_impro01_M011,Ses05F_impro01_F013,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M013,Ses05F_impro01_M012,Ses05F_impro01_F013,fru,fru,fru,1,2,0,0,0
Ses05F_impro01_F014,Ses05F_impro01_F013,Ses05F_impro01_M013,fru,fru,fru,3,1,0,0,0
Ses05F_impro01_M014,Ses05F_impro01_M013,Ses05F_impro01_F014,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F015,Ses05F_impro01_F014,Ses05F_impro01_M014,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_M015,Ses05F_impro01_M014,Ses05F_impro01_F015,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F016,Ses05F_impro01_F015,Ses05F_impro01_M015,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F017,Ses05F_impro01_F016,Ses05F_impro01_M015,fru,fru,fru,1,2,0,0,0
Ses05F_impro01_M017,Ses05F_impro01_M015,Ses05F_impro01_F017,fru,fru,fru,3,1,0,0,0
Ses05F_impro01_M020,Ses05F_impro01_M019,Ses05F_impro01_F020,fru,fru,fru,2,1,0,0,0
Ses05F_impro01_F023,Ses05F_impro01_F022,Ses05F_impro01_M021,fru,fru,fru,1,2,0,0,0
Ses05F_impro01_M023,Ses05F_impro01_M021,Ses05F_impro01_F023,fru,fru,fru,3,1,0,0,0
Ses05F_impro01_F024,Ses05F_impro01_F023,Ses05F_impro01_M023,fru,fru,fru,2,1,0,0,0
Ses05F_impro02_F018,Ses05F_impro02_F015,Ses05F_impro02_M016,fru,fru,fru,3,1,0,0,0
Ses05F_impro02_F019,Ses05F_impro02_F018,Ses05F_impro02_M016,fru,fru,fru,1,2,0,0,0
Ses05F_impro02_F021,Ses05F_impro02_F019,Ses05F_impro02_M016,fru,fru,fru,1,3,0,0,0
Ses05F_impro02_M026,Ses05F_impro02_M025,Ses05F_impro02_F022,sad,sad,sad,1,2,0,0,0
Ses05F_impro02_F024,Ses05F_impro02_F022,Ses05F_impro02_M026,sad,sad,sad,3,1,0,0,0
Ses05F_impro02_M027,Ses05F_impro02_M026,Ses05F_impro02_F024,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F025,Ses05F_impro02_F024,Ses05F_impro02_M027,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F029,Ses05F_impro02_F028,Ses05F_impro02_M030,sad,sad,sad,1,2,0,0,0
Ses05F_impro02_M032,Ses05F_impro02_M030,Ses05F_impro02_F029,sad,sad,sad,3,1,0,0,0
Ses05F_impro02_F030,Ses05F_impro02_F029,Ses05F_impro02_M032,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_M033,Ses05F_impro02_M032,Ses05F_impro02_F030,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_M034,Ses05F_impro02_M033,Ses05F_impro02_F030,sad,sad,sad,1,2,0,0,0
Ses05F_impro02_M035,Ses05F_impro02_M034,Ses05F_impro02_F030,sad,sad,sad,1,3,0,0,0
Ses05F_impro02_F032,Ses05F_impro02_F030,Ses05F_impro02_M035,sad,sad,sad,4,1,0,0,0
Ses05F_impro02_M036,Ses05F_impro02_M035,Ses05F_impro02_F032,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F033,Ses05F_impro02_F032,Ses05F_impro02_M036,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_M037,Ses05F_impro02_M036,Ses05F_impro02_F033,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F035,Ses05F_impro02_F033,Ses05F_impro02_M037,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F036,Ses05F_impro02_F035,Ses05F_impro02_M037,sad,sad,sad,1,2,0,0,0
Ses05F_impro02_F037,Ses05F_impro02_F036,Ses05F_impro02_M037,sad,sad,sad,1,3,0,0,0
Ses05F_impro02_F038,Ses05F_impro02_F037,Ses05F_impro02_M037,sad,sad,sad,1,4,0,0,0
Ses05F_impro02_M042,Ses05F_impro02_M037,Ses05F_impro02_F038,sad,sad,sad,5,1,0,0,0
Ses05F_impro02_F039,Ses05F_impro02_F038,Ses05F_impro02_M042,sad,sad,sad,2,1,0,0,0
Ses05F_impro03_M001,Ses05F_impro03_M000,Ses05F_impro03_F000,exc,exc,exc,1,2,0,0,0
Ses05F_impro03_F001,Ses05F_impro03_F000,Ses05F_impro03_M001,exc,exc,exc,3,1,0,0,0
Ses05F_impro03_F002,Ses05F_impro03_F001,Ses05F_impro03_M001,exc,exc,exc,1,2,0,0,0
Ses05F_impro03_M003,Ses05F_impro03_M001,Ses05F_impro03_F002,exc,exc,exc,3,1,0,0,0
